,MINE_ID,CAL_YR,PROPOSED_PENALTY,NDL_IR,NFDL_IR,SM,C/100,SS/100,O/100,Risk_Index
61,2003454.0,2011.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,3.536975548406016e-05
62,2003454.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2300409.0,2011.0,0.02,0.12,0.02,0.01,0.13,0.05,0.01,0.000511157466998325
64,2300409.0,2014.0,0.05,0.08,0.01,0.04,0.14,0.08,0.04,0.000644246432211206
65,2300458.0,2011.0,0.02,0.05,0.0,0.01,0.3,0.21,0.0,0.0007627226722578903
66,2300458.0,2014.0,0.04,0.18,0.0,0.0,0.18,0.09,0.0,0.0006813677084480138
67,2300495.0,2011.0,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.0002942143031404862
68,2300495.0,2014.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.00011173739608618294
69,2300499.0,2011.0,0.01,0.12,0.02,0.02,0.11,0.05,0.0,0.000469793985081819
70,2300499.0,2014.0,0.02,0.07,0.0,0.03,0.13,0.06,0.02,0.0004647577351442792
71,2301800.0,2011.0,0.0,0.17,0.0,0.0,0.13,0.07,0.0,0.0005058329749878795
72,2301800.0,2014.0,0.01,0.07,0.03,0.03,0.09,0.06,0.0,0.0004187551407013318
73,2400242.0,2011.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001178991849468672
74,2400242.0,2014.0,0.0,0.0,0.0,0.0,0.18,0.09,0.0,0.0003309910910330469
75,2401079.0,2011.0,0.01,0.15,0.0,0.05,0.14,0.09,0.02,0.0006556989875870074
76,2401467.0,2011.0,0.04,0.0,0.01,0.0,0.15,0.07,0.01,0.00037904489431934843
77,2401467.0,2014.0,0.01,0.0,0.0,0.0,0.1,0.07,0.0,0.00022899939550198595
78,2401490.0,2011.0,0.13,0.08,0.05,0.02,0.12,0.07,0.02,0.0007592270786831207
